04-21 14:57:25: Training starting...
04-21 14:57:41: New best reward -1.6 (-100.0%) at episode 0, saving model...
04-21 14:57:50: New best reward -1.1 (-31.2%) at episode 1, saving model...
04-21 14:58:37: New best reward -0.8 (-25.2%) at episode 6, saving model...
04-21 15:05:48: New best reward -0.6 (-33.1%) at episode 52, saving model...
04-21 15:07:49: New best reward -0.5 (-12.4%) at episode 65, saving model...
04-21 15:08:54: New best reward 0.0 (-109.7%) at episode 72, saving model...
04-21 15:29:48: New best reward 0.3 (+505.9%) at episode 206, saving model...
04-21 16:08:44: New best reward 0.5 (+78.4%) at episode 442, saving model...
04-21 16:17:54: New best reward 0.5 (+6.8%) at episode 497, saving model...
04-21 16:28:24: New best reward 0.6 (+19.1%) at episode 560, saving model...
04-21 16:46:49: New best reward 0.7 (+8.2%) at episode 670, saving model...
04-21 16:59:06: New best reward 0.9 (+31.0%) at episode 743, saving model...
04-21 18:57:00: New best reward 0.9 (+2.9%) at episode 861, saving model...
04-21 19:03:41: New best reward 1.0 (+4.4%) at episode 904, saving model...
04-21 19:50:55: New best reward 1.0 (+5.0%) at episode 1197, saving model...
04-21 20:11:20: New best reward 1.1 (+5.5%) at episode 1321, saving model...
04-21 20:14:38: New best reward 1.2 (+5.8%) at episode 1341, saving model...
04-21 21:13:15: New best reward 1.2 (+1.0%) at episode 1703, saving model...
04-21 22:03:32: New best reward 1.2 (+0.2%) at episode 2007, saving model...
04-21 22:11:28: New best reward 1.2 (+1.7%) at episode 2055, saving model...
04-21 23:07:03: New best reward 1.3 (+6.3%) at episode 2393, saving model...
04-21 23:52:29: New best reward 1.3 (+2.0%) at episode 2672, saving model...
04-22 00:23:02: New best reward 1.5 (+15.8%) at episode 2835, saving model...
